type; start; end; value; unit
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-09-04 07:45:45 +0100"; "2022-09-04 08:46:32 +0100"; 10.0525; "km"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-09-05 06:24:06 +0100"; "2022-09-05 07:55:11 +0100"; 13.944; "km"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-09-07 07:41:24 +0100"; "2022-09-07 08:41:34 +0100"; 10.0343; "km"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-09-08 08:40:19 +0100"; "2022-09-08 09:04:49 +0100"; 5.00596; "km"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-09-10 12:11:39 +0100"; "2022-09-10 12:53:46 +0100"; 6.45552; "km"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-09-12 06:59:07 +0100"; "2022-09-12 08:45:25 +0100"; 15.008; "km"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-09-14 10:29:50 +0100"; "2022-09-14 11:30:09 +0100"; 10.0077; "km"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-09-17 08:29:24 +0100"; "2022-09-17 10:03:33 +0100"; 15.0031; "km"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-09-19 11:16:14 +0100"; "2022-09-19 12:03:21 +0100"; 8.0106; "km"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-09-21 16:23:41 +0100"; "2022-09-21 17:22:15 +0100"; 8.7798; "km"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-09-23 11:21:53 +0100"; "2022-09-23 12:59:28 +0100"; 15.0055; "km"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-09-26 11:08:09 +0100"; "2022-09-26 12:04:02 +0100"; 10.0071; "km"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-09-28 17:02:11 +0100"; "2022-09-28 17:43:09 +0100"; 5.2359; "km"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-09-30 09:50:46 +0100"; "2022-09-30 10:59:28 +0100"; 12.0209; "km"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-10-03 09:21:39 +0100"; "2022-10-03 10:53:15 +0100"; 15.1585; "km"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-10-05 15:21:17 +0100"; "2022-10-05 16:34:20 +0100"; 11.0093; "km"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-10-07 12:02:44 +0100"; "2022-10-07 12:40:21 +0100"; 5.04966; "km"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-10-09 09:28:49 +0100"; "2022-10-09 11:24:35 +0100"; 21.1065; "km"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-10-12 15:32:02 +0100"; "2022-10-12 16:19:19 +0100"; 4.90613; "km"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-10-15 07:06:02 +0100"; "2022-10-15 08:14:30 +0100"; 8.98511; "km"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-10-17 17:04:24 +0100"; "2022-10-17 18:24:00 +0100"; 13.2534; "km"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-10-19 16:04:42 +0100"; "2022-10-19 16:27:59 +0100"; 4.20333; "km"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-10-24 17:01:15 +0100"; "2022-10-24 18:17:15 +0100"; 13.2667; "km"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-11-10 18:05:14 +0100"; "2022-11-10 19:17:43 +0100"; 11.7528; "km"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-11-14 18:04:15 +0100"; "2022-11-14 19:25:57 +0100"; 12.0096; "km"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-11-19 09:03:25 +0100"; "2022-11-19 09:29:05 +0100"; 5.00279; "km"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-11-26 09:03:36 +0100"; "2022-11-26 09:27:54 +0100"; 5.00483; "km"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-11-28 18:00:11 +0100"; "2022-11-28 19:16:12 +0100"; 13.0049; "km"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-12-01 18:05:31 +0100"; "2022-12-01 19:18:17 +0100"; 12.6257; "km"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-11-12 10:00:00 +0100"; "2022-11-12 11:08:01 +0100"; 11.70; "km"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-11-07 10:00:00 +0100"; "2022-11-07 11:23:01 +0100"; 14.16; "km"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-11-03 10:00:00 +0100"; "2022-11-03 11:18:01 +0100"; 12.65; "km"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-12-15 10:00:00 +0100"; "2022-11-03 11:00:01 +0100"; 9.65; "km"
