type; start; end; value; unit
"HKQuantityTypeIdentifierActiveEnergyBurned"; "2022-03-19 08:48:33 +0100"; "2022-03-19 15:38:00 +0100"; "3628.55"; "kcal"
"HKQuantityTypeIdentifierDistanceDownhillSnowSports"; "2022-03-19 08:48:33 +0100"; "2022-03-19 15:38:00 +0100"; "92.5224"; "km"
"HKQuantityTypeIdentifierActiveEnergyBurned"; "2022-08-10 15:59:07 +0100"; "2022-08-10 17:56:25 +0100"; "575.229"; "kcal"
"HKQuantityTypeIdentifierDistanceCycling"; "2022-08-10 15:59:07 +0100"; "2022-08-10 17:56:25 +0100"; "23.182"; "km"
"HKQuantityTypeIdentifierActiveEnergyBurned"; "2022-08-17 08:03:31 +0100"; "2022-08-17 08:24:31 +0100"; "103.764"; "kcal"
"HKQuantityTypeIdentifierDistanceCycling"; "2022-08-17 08:03:31 +0100"; "2022-08-17 08:24:31 +0100"; "3.1481"; "km"
"HKQuantityTypeIdentifierActiveEnergyBurned"; "2022-08-17 08:29:26 +0100"; "2022-08-17 17:03:59 +0100"; "2037.23"; "kcal"
"HKQuantityTypeIdentifierDistanceCycling"; "2022-08-17 08:29:26 +0100"; "2022-08-17 17:03:59 +0100"; "75.3148"; "km"
"HKQuantityTypeIdentifierActiveEnergyBurned"; "2022-08-22 09:23:30 +0100"; "2022-08-22 09:58:34 +0100"; "173.269"; "kcal"
"HKQuantityTypeIdentifierDistanceCycling"; "2022-08-22 09:23:30 +0100"; "2022-08-22 09:58:34 +0100"; "9.36068"; "km"
"HKQuantityTypeIdentifierActiveEnergyBurned"; "2022-08-22 11:12:17 +0100"; "2022-08-22 11:43:20 +0100"; "153.422"; "kcal"
"HKQuantityTypeIdentifierDistanceCycling"; "2022-08-22 11:12:17 +0100"; "2022-08-22 11:43:20 +0100"; "8.84905"; "km"
"HKQuantityTypeIdentifierActiveEnergyBurned"; "2022-08-24 08:30:06 +0100"; "2022-08-24 12:01:45 +0100"; "817.073"; "kcal"
"HKQuantityTypeIdentifierDistanceCycling"; "2022-08-24 08:30:06 +0100"; "2022-08-24 12:01:45 +0100"; "40.2632"; "km"
"HKQuantityTypeIdentifierActiveEnergyBurned"; "2022-08-25 13:52:11 +0100"; "2022-08-25 14:38:26 +0100"; "228.51"; "kcal"
"HKQuantityTypeIdentifierDistanceCycling"; "2022-08-25 13:52:11 +0100"; "2022-08-25 14:38:26 +0100"; "10.7926"; "km"
"HKQuantityTypeIdentifierActiveEnergyBurned"; "2022-08-29 07:31:32 +0100"; "2022-08-29 08:16:55 +0100"; "224.164"; "kcal"
"HKQuantityTypeIdentifierDistanceCycling"; "2022-08-29 07:31:32 +0100"; "2022-08-29 08:16:55 +0100"; "12.5662"; "km"
"HKQuantityTypeIdentifierActiveEnergyBurned"; "2022-08-29 08:34:08 +0100"; "2022-08-29 11:55:39 +0100"; "952.485"; "kcal"
"HKQuantityTypeIdentifierDistanceCycling"; "2022-08-29 08:34:08 +0100"; "2022-08-29 11:55:39 +0100"; "32.2026"; "km"
"HKQuantityTypeIdentifierActiveEnergyBurned"; "2022-09-04 07:45:45 +0100"; "2022-09-04 08:46:32 +0100"; "746.056"; "kcal"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-09-04 07:45:45 +0100"; "2022-09-04 08:46:32 +0100"; "10.0525"; "km"
"HKQuantityTypeIdentifierActiveEnergyBurned"; "2022-09-05 06:24:06 +0100"; "2022-09-05 07:55:11 +0100"; "1021.45"; "kcal"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-09-05 06:24:06 +0100"; "2022-09-05 07:55:11 +0100"; "13.944"; "km"
"HKQuantityTypeIdentifierActiveEnergyBurned"; "2022-09-07 07:41:24 +0100"; "2022-09-07 08:41:34 +0100"; "745.451"; "kcal"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-09-07 07:41:24 +0100"; "2022-09-07 08:41:34 +0100"; "10.0343"; "km"
"HKQuantityTypeIdentifierActiveEnergyBurned"; "2022-09-08 08:40:19 +0100"; "2022-09-08 09:04:49 +0100"; "381.942"; "kcal"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-09-08 08:40:19 +0100"; "2022-09-08 09:04:49 +0100"; "5.00596"; "km"
"HKQuantityTypeIdentifierActiveEnergyBurned"; "2022-09-10 12:11:39 +0100"; "2022-09-10 12:53:46 +0100"; "480.119"; "kcal"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-09-10 12:11:39 +0100"; "2022-09-10 12:53:46 +0100"; "6.45552"; "km"
"HKQuantityTypeIdentifierActiveEnergyBurned"; "2022-09-12 06:59:07 +0100"; "2022-09-12 08:45:25 +0100"; "1086.53"; "kcal"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-09-12 06:59:07 +0100"; "2022-09-12 08:45:25 +0100"; "15.008"; "km"
"HKQuantityTypeIdentifierActiveEnergyBurned"; "2022-09-14 10:29:50 +0100"; "2022-09-14 11:30:09 +0100"; "744.958"; "kcal"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-09-14 10:29:50 +0100"; "2022-09-14 11:30:09 +0100"; "10.0077"; "km"
"HKQuantityTypeIdentifierActiveEnergyBurned"; "2022-09-17 08:29:24 +0100"; "2022-09-17 10:03:33 +0100"; "954.777"; "kcal"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-09-17 08:29:24 +0100"; "2022-09-17 10:03:33 +0100"; "15.0031"; "km"
"HKQuantityTypeIdentifierActiveEnergyBurned"; "2022-09-19 11:16:14 +0100"; "2022-09-19 12:03:21 +0100"; "507.674"; "kcal"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-09-19 11:16:14 +0100"; "2022-09-19 12:03:21 +0100"; "8.0106"; "km"
"HKQuantityTypeIdentifierActiveEnergyBurned"; "2022-09-21 16:23:41 +0100"; "2022-09-21 17:22:15 +0100"; "548.137"; "kcal"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-09-21 16:23:41 +0100"; "2022-09-21 17:22:15 +0100"; "8.7798"; "km"
"HKQuantityTypeIdentifierActiveEnergyBurned"; "2022-09-23 11:21:53 +0100"; "2022-09-23 12:59:28 +0100"; "947.881"; "kcal"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-09-23 11:21:53 +0100"; "2022-09-23 12:59:28 +0100"; "15.0055"; "km"
"HKQuantityTypeIdentifierActiveEnergyBurned"; "2022-09-26 11:08:09 +0100"; "2022-09-26 12:04:02 +0100"; "644.435"; "kcal"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-09-26 11:08:09 +0100"; "2022-09-26 12:04:02 +0100"; "10.0071"; "km"
"HKQuantityTypeIdentifierActiveEnergyBurned"; "2022-09-26 14:13:56 +0100"; "2022-09-26 14:59:15 +0100"; "209.02"; "kcal"
"HKQuantityTypeIdentifierDistanceCycling"; "2022-09-26 14:13:56 +0100"; "2022-09-26 14:59:15 +0100"; "11.929"; "km"
"HKQuantityTypeIdentifierActiveEnergyBurned"; "2022-09-28 17:02:11 +0100"; "2022-09-28 17:43:09 +0100"; "320.643"; "kcal"
"HKQuantityTypeIdentifierDistanceWalkingRunning"; "2022-09-28 17:02:11 +0100"; "2022-09-28 17:43:09 +0100"; "5.2359"; "km"
